Name,Affiliation,H-index,I10-index,Total Citations,Citations in Last 5 Years,organization,Gender,Gender encode
Michael Haus,Technical University of Munich,5,4,403,337,Technical University of Munich,male,1
Nirmal Adhikari,Dalhousie University,6,6,403,403,Dalhousie University,female,0
Raquel Viciana,"Assistant Professor of Telecommunication Engineering, University of Jaen",10,10,402,185,,male,1
Sonia Camacho,Associate Professor at Universidad de los Andes,9,9,402,311,,female,0
Bruno Cardoso,Research Software Engineer,9,9,402,307,,male,1
Adel Sulaiman,"Assistant Professor, Najran University",12,17,402,400,Najran University,male,1
Joko Sutopo,Universitas Teknologi Yogyakarta,7,5,401,355,,female,0
Carla F. Griggio,Aalborg University,10,11,401,360,Aalborg University,male,1
Mônica Ferreira da Silva,Universidade Federal do Rio de Janeiro,10,11,401,227,,male,1
"Md. Golam Rashed, PhD","Associate Professor, Dept. of Information and Communication Engg. University of Rajshahi",9,9,400,227,,female,0
Eleftherios Papachristos,"Associate Professor, Norwegian University of Science and Technology (NTNU)",11,14,400,232,Norwegian University of Science and Technology,female,0
Sam Ssemugabi,"Senior Lecturer School of Computing, University of South Africa",8,8,400,146,"Lecturer School of Computing,",male,1
Yasaman S. Sefidgar,"PhD Student in Computer Science and Engineering, University of Washington",10,11,400,341,University of Washington,female,0
Jari Varsaluoma,"University lecturer, Tampere University",12,13,400,314,Tampere University,female,0
Sisira Adikari,University of Canberra,10,11,399,227,University of Canberra,female,0
Ali Darejeh,University of New South Wales,5,4,399,285,University of New South Wales,female,0
Mohammad Yasir Arafat,United International University,11,15,399,359,United International University,female,0
Juan F. Maestre,Swansea University,11,14,399,384,Swansea University,male,1
Irene Ye Yuan,Assistant Professor at McMaster University,9,9,399,399,McMaster University,female,0
Wenting Xiong,Facebook,11,11,398,225,,female,0
Hendrik Heuer,University of Bremen,12,14,398,377,University of Bremen,female,0
Kunal Gupta,"Research Fellow at Empathic Computing Lab, University of Auckland",8,5,398,361,University of Auckland,female,0
Ke Sun,"PhD of Computer Science, Tsinghua University",7,6,398,342,Tsinghua University,male,1
Marian Haescher,Fraunhofer IGD,9,9,397,245,,male,1
Gabriel Gonzalez-Serna,Tecnológico Nacional de México campus Centro Nacional de Investigación y Desarrollo Tecnológico,10,11,397,204,,male,1
Timur Osadchiy,"Open Lab, School of Computing Science, Newcastle University",6,6,397,383,School of Computing Science,female,0
Malek Qalit Alrashidi,University of Tabuk,11,18,397,356,University of Tabuk,male,1
Leysan Nurgalieva,Postdoctoral researcher at Aalto University,8,7,397,392,Aalto University,female,0
Mutlaq Aldajani,"Full Professor, Imam Mohammad Ibn Saud Islamic University (IMSIU), Saudi Arabia",12,12,397,172,,male,1
Jung Wook Park,"Ph.D, College of Computing, Georgia Institute of Technology",8,8,396,268,College of Computing,female,0
Alireza Darvishy,"Professor of Computer Science (ICT Accessibility), Zurich University of Applied Sciences",15,15,396,209,Zurich University of Applied Sciences,male,1
Lim Tek Yong,"Multimedia University, Malaysia",11,13,395,182,Multimedia University,female,0
Sucheta Ghoshal,University of Washington,6,6,395,385,University of Washington,female,0
Anna Turner,"User Experience Researcher, Google",4,3,395,341,,female,0
Susan J Robinson,Independent; CDC (retired); Georgia Tech (affiliate),10,10,394,229,,female,0
Ahmad Reeves,"Assistant Professor of Computer Science, Qassim University",8,7,394,117,Qassim University,female,0
Amy S Hwang,University of Toronto,10,10,394,272,University of Toronto,male,1
Natalie Clewley,Brunel University,9,9,393,188,Brunel University,male,1
Stefan M. Grünvogel,Technische Hochschule Köln,11,12,393,116,,female,0
Ben Rydal Shapiro,"Assistant Professor, Georgia State University",12,14,393,328,Georgia State University,male,1
Poorna Talkad Sukumar,"Postdoctoral Associate, New York University",9,9,393,281,New York University,male,1
"Ko, Sang Min","Robotics Lab in the R&D Division, Hyundai Motor Company",8,5,392,262,,female,0
Silas Hsu,University of Illinois at Urbana-Champaign,5,5,391,374,University of Illinois,female,0
Logan Stapleton,University of Minnesota,8,7,391,391,University of Minnesota,female,0
Eunice Jun,University of Washington,10,10,391,357,University of Washington,female,0
Huijuan Wu,"University of Maryland, Baltimore County",6,5,390,201,University of Maryland,male,1
Marco Pasch,University of Lugano,6,5,390,97,University of Lugano,female,0
Daniel Gotsch (Goč),Queen's University,12,14,390,273,Queen's University,male,1
Aurora Constantin,"Lecturer, University of Edinburgh",10,13,390,342,University of Edinburgh,male,1
Rosanna Bellini,"Cornell Tech, Cornell University",12,13,390,385,Cornell University,male,1
Emma Dixon,"Assistant Professor, Clemson University",10,10,390,383,Clemson University,male,1
John J Robinson,University of Washington,8,8,389,243,University of Washington,female,0
David Altimira,"PhD student, HIT Lab NZ, University of Canterbury",9,9,389,234,University of Canterbury,female,0
Ramón René Palacio Cinco,"Professor of Computer Science, ITSON",11,11,389,274,,male,1
Dan Rosenfeld,Research Consultant,5,4,389,36,,female,0
Deepti Aggarwal,"Deakin University, Australia",8,8,388,299,Deakin University,female,0
Koya Narumi,The University of Tokyo,11,13,388,358,The University of Tokyo,male,1
Fariba Mostajeran,Universität Hamburg,9,9,388,384,,female,0
Ismael Espinosa Curiel,CICESE-UT3,11,12,388,325,,female,0
Jessica Q. Dawson,University of British Columbia,9,8,387,191,University of British Columbia,male,1
Fannie Liu,Associate Research Scholar,10,10,387,356,,male,1
Nami Ogawa,CyberAgent AI Lab,10,10,387,356,,female,0
Donatien Grolaux,"Lecturer of Computer Sciences, ICHEC Brussels Management School",9,9,387,48,ICHEC Brussels Management School,female,0
Zhiqiu Lin,Carnegie Mellon University,7,6,387,385,Carnegie Mellon University,female,0
Muhammad Haziq Lim Abdullah,Universiti Teknikal Malaysia Melaka,9,9,386,238,,female,0
Joanne Zucco,University of South Australia,11,12,386,137,University of South Australia,female,0
Susanne Draheim,Hochschule für Angewandte Wissenschaften Hamburg,9,9,386,209,,male,1
Caroline Pitt,"PhD, University of Washington",9,9,386,367,University of Washington,female,0
Daisuke Uriu（瓜生大輔）,"Assistant Professor, Shibaura Institute of Technology",12,13,386,287,Shibaura Institute of Technology,female,0
Tong Gao,University of Michigan,2,2,385,308,University of Michigan,male,1
Victor Cheung,"Post-doctoral Fellow, Carleton University",11,14,385,214,Carleton University,male,1
Zi Wang,Augusta University,8,8,385,385,Augusta University,male,1
Michael Sengpiel,Zattoo,8,7,384,210,,male,1
Jon Moeller,"Google, Texas A&M University",8,7,384,192,Texas A&M University,female,0
Maitraye Das,"Asst. Professor, Northeastern University",9,7,384,379,Northeastern University,female,0
Marloes Spekman,Sanquin Research,9,9,383,284,,female,0
Max T. Curran,"University of California, Berkeley School of Information",12,12,383,254,"University of California, Berkeley School of Information",male,1
Andria Wahyudi,"Fakultas Ilmu Komputer, Universitas Klabat",11,12,383,284,,female,0
Jonggi Hong,Assistant Professor at Stevens Institute of Technology,10,10,383,279,Stevens Institute of Technology,female,0
Brennan Jones,"Postdoctoral Researcher, Meta Reality Labs Research",8,8,383,342,,male,1
Siri Fagernes,"Associate Professor, Kristiania University College",10,12,383,162,Kristiania University College,male,1
Terhi Mustonen,"Sosped Foundation, University of Helsinki",10,10,382,168,University of Helsinki,female,0
Carlos Ramos,"Faculdade de Ciências e Tecnologia, Universidade Nova de Lisboa",6,5,382,86,,female,0
Hsin-Ruey Tsai,National Chengchi University,12,14,382,353,National Chengchi University,female,0
Chris Bopp,Assistant Professor of Computer Science at St. Bonaventure University,8,8,381,334,St. Bonaventure University,female,0
Yujia Cao,Konica Minolta Laboratory Europe,11,12,381,137,,male,1
Julia Woodward,"Assistant Professor, University of South Florida",11,11,381,371,University of South Florida,female,0
Makayla Lewis,Kingston University London,12,12,381,339,Kingston University,male,1
Danish U. Khan,"Director of Engineering, Dremio",8,8,380,158,,female,0
Tejas Peesapati,Google,8,7,380,139,,female,0
Georgios Korres,"Senior Research Engineer, New York University Abu Dhabi",11,13,380,344,New York University,female,0
Prof. Djilali IDOUGHI,"University A. Mira of Bejaia, Algeria",8,6,379,193,,male,1
Shujie Deng,King's College London,11,14,379,336,King's College London,male,1
Kimon Kieslich,University of Amsterdam,8,6,379,379,University of Amsterdam,male,1
Dr. KARNATI MOHAN,"Assistant Professor @ NIT Raipur, Ph.D.",9,9,379,379,,male,1
Ashraful Islam,"Assistant Professor of Computer Science and Engineering, Independent University, Bangladesh",9,8,379,374,Independent University,male,1
Chong Ma,Northwestern Polytechnical University,11,12,379,378,Northwestern Polytechnical University,male,1
Harini Sampath,Google,10,10,378,214,,male,1
Mehmet Aydın Baytaş,WEATHERLIGHT,11,13,378,371,,female,0
Colin Fitzpatrick,Graduate Student at Northwestern University,6,4,378,239,Northwestern University,female,0
Amy Csizmar Dalal,"Professor of Computer Science, Carleton College",10,11,378,83,Carleton College,female,0
Patrick Dubroy,Y Combinator Research,7,6,378,133,,female,0
David Antonio Gómez Jáuregui,"Assistant Professor of Computer Science, ESTIA",10,10,377,212,,female,0
Fabrizio Mulas,Università di Cagliari,10,11,377,175,,female,0
Tao Dong,Google,9,9,376,203,,female,0
Horia A. Maior,"School of Computer Science, University of Nottingham",9,9,376,303,School of Computer Science,female,0
Kerwell Liao,"User Experience Researcher, Stripe",4,3,376,212,,female,0
Miriam Greis,"VIS, University of Stuttgart",11,12,376,257,University of Stuttgart,male,1
Alexandria K. Vail,"Ph.D. Student, Carnegie Mellon University",11,11,376,235,Carnegie Mellon University,female,0
Marco Raoul Marini,"Sapienza, University of Rome",10,11,376,371,University of Rome,female,0
Ben Kaiser,"PhD student, Department of Computer Science, Princeton University",7,6,376,351,Princeton University,male,1
Artificial Intelligence and Applications,BON VIEW PUBLISHING,12,12,376,376,,female,0
charlie pinder,"Currently at UKHSA, ex University of Birmingham",9,9,375,308,ex University of Birmingham,female,0
Anna-Maria Seeger,University of Mannheim,8,6,375,361,University of Mannheim,female,0
Nick Rewkowski,"University of Maryland at College Park, UNC-Chapel Hill",10,10,375,364,University of Maryland,male,1
Radiah Rivu,Bundeswehr University Munich,9,9,375,375,Bundeswehr University Munich,male,1
Nigini Oliveira,"Postdoc Researcher of Computer Science, University of Washington",12,12,374,237,University of Washington,male,1
Andy Wu,"Georgia Institute of Technology, General Electric",11,15,374,109,Georgia Institute of Technology,female,0
Arminda Guerra Lopes,Instituto Politécnico de Castelo Branco; LARSyS/ITI,11,13,374,230,,female,0
Catalin-Mihai Barbu,"Researcher, University of Duisburg-Essen",9,9,374,300,"Researcher, University of Duisburg-Essen",male,1
Khalil Roy-Klouche,Swiss Biobanking Platform,9,9,374,264,,female,0
Adiyan Mujibiya,Yahoo! JAPAN,7,4,374,175,,male,1
Cara Wilson,"Lecturer in Children and Technology, University of Edinburgh",10,13,374,351,University of Edinburgh,male,1
Verena Distler,University of the Bundeswehr Munich,8,8,374,370,University of the Bundeswehr Munich,male,1
Fengyuan Zhu,"PhD, Dynamic Graphics Project, University of Toronto",8,8,374,338,University of Toronto,male,1
Santiago Villarreal-Narvaez,Postdoctoral researcher at Université de Namur,11,11,374,357,,male,1
Hiromi Nakamura,The University of Tokyo,10,11,373,217,The University of Tokyo,female,0
Vito Gentile,"Senior Data Scientist, synbrAIn",12,14,373,271,,male,1
Roland Aigner,"Researcher, Media Interaction Lab",9,9,373,266,,male,1
Rebecca Fribourg,Ecole Centrale de Nantes / LS2N - PACCE team / External member of Hybrid team at Inria Rennes,7,7,373,366,,male,1
Ye Tian,University of Science and Technology of China (USTC),9,9,373,373,University of Science and Technology of China,male,1
Aboozar Eghdam,Director of User Experience Research & Design at Coupa Software,9,9,372,283,,male,1
Anton Treskunov,Doxel.AI,9,9,372,110,,male,1
Yulia Gizatdinova,Dr. of Interaction Technology,11,13,372,152,,female,0
Danula Hettiachchi,"Lecturer, School of Computing Technologies, RMIT University",10,10,372,371,School of Computing Technologies,female,0
Pınar Barlas,Information Science PhD Student at Western University,9,9,372,371,Western University,female,0
James Abbott Eqdam,Director of User experience Research and Design,9,9,372,283,,male,1
John R. Gersh,"Principal Engineer, Johns Hopkins University Applied Physics Laboratory",9,8,371,118,Johns Hopkins University Applied Physics Laboratory,female,0
Kirralie Houghton,"PhD, Queensland University of Technology",8,7,371,249,Queensland University of Technology,male,1
"Edward C. Dillon, Jr.","Associate Professor, Morgan State University",8,8,371,291,Morgan State University,male,1
JOSE ANTONIO PIEDRA FERNANDEZ,University of Almeria,10,13,371,206,University of Almeria,female,0
Soojin Jun,Yonsei University,9,9,371,199,Yonsei University,female,0
Sam Lau,UC San Diego,7,7,371,268,,male,1
Tzu-Sheng Kuo,"HCII, Carnegie Mellon University",7,7,371,371,Carnegie Mellon University,female,0
Piotr Sulikowski,West Pomeranian University of Technology,11,14,371,321,West Pomeranian University of Technology,female,0
Sebastian Hubenschmid,University of Konstanz,8,6,371,358,University of Konstanz,male,1
Alcina Prata,"Coordinate Professor, Escola Superior de Tecnologia de Setúbal, Instituto Politécnico de Setúbal",9,9,371,130,,female,0
Pietro Neroni,Research Fellow presso National Research Council of Italy,12,13,370,257,,male,1
Martin Dechant,University College London,11,14,370,365,University College,female,0
Jürgen Brandstetter,"HITLabNZ, University of Canterbury",7,5,369,293,"HITLabNZ, University of Canterbury",female,0
Camila Loiola Brito Maia,Universidade de Fortaleza,9,8,369,144,,male,1
Ting Zhang,Meta Reality Labs Research,10,10,369,314,,male,1
Guihuan Feng,"Associate Professor of Software Institute, Nanjing University",8,8,369,120,Software Institute,male,1
A A Istri Ita Paramitha,"Sistem Informasi, Universitas Primakara",11,13,369,363,,male,1
Seongtaek Lim,"Adobe, Inc.",6,6,369,219,,female,0
Philip Strain,Miro,9,7,369,92,,male,1
Jehad Imlawi,Associate Professor,7,5,368,269,,female,0
Qianling Jiang,Jiangnan University,12,14,368,368,Jiangnan University,female,0
Krisjanis Nesenbergs,"Researcher, Institute of Electronics and Computer Science (EDI)",10,11,367,271,"Researcher, Institute of Electronics and Computer Science",male,1
yousef majdalawi,"Yousef Majdalawi Computer Information Systems Department, The University of Jordan, Amman, Jordan E",7,7,367,270,The University of Jordan,male,1
Lisa A. Elkin,"PhD Student, University of Washington",5,3,367,367,University of Washington,female,0
Oon Yin Bee,"Lecturer of Cognitive Science, Universiti Malaysia Sarawak",9,9,366,274,,male,1
Yuan Liang,"University of California, Los Angeles",11,13,366,362,University of California,male,1
Russell Schick,Unknown affiliation,4,3,366,28,,male,1
Dingyun Zhu,"The Australian National University, CSIRO ICT Centre",9,8,365,121,The Australian National University,male,1
Kiel S. Long,Independent Researcher,10,10,365,347,,female,0
Hiroto Aida,Doshisha University,9,8,365,60,Doshisha University,female,0
Michael Sobolev,Behavioral Scientist @ Cornell Tech,11,11,365,362,,male,1
Chiu Po Chan,"Lecturer, Faculty of Computer Science and Information Technology, Universiti Malaysia Sarawak",13,19,365,277,Faculty of Computer Science and Information Technology,female,0
Fazillah Kamal,Lecturer at Universiti Utara Malaysia,10,10,365,250,,female,0
HyunJoo Oh,"Assistant Professor, Industrial Design & Interactive Computing, Georgia Tech",11,14,365,291,,female,0
Majeed Kazemitabaar,University of Toronto,6,6,365,316,University of Toronto,female,0
Philipp Nussbaumer Matter,Zurich University of Applied Sciences,12,12,365,117,Zurich University of Applied Sciences,male,1
Ainara Garzo,Tecnalia,8,7,364,285,,female,0
remi kwon,korea university of technology and education,9,9,364,256,korea university of technology,female,0
Andrew A. Bayor,SD Dombo University of Business & Integrated Development Studies,11,12,364,313,SD Dombo University of Business & Integrated Development Studies,male,1
Soumalya Ghosh,"Galgotias University, Indian Institute of Technology Kharagpur",9,9,363,161,Galgotias University,female,0
Andrés Solano,Universidad Autónoma de Occidente,10,10,363,196,,female,0
Milka Trajkova,"Research Scientist, Georgia Institute of Technology",9,9,363,342,Georgia Institute of Technology,female,0
Sophie N. Liu,University of Toronto,7,6,363,362,University of Toronto,female,0
Benedict Lewis Abotsi.,Ghana Institute of Management and Public Administration,8,7,363,190,Ghana Institute of Management and Public Administration,male,1
Máté Köles,Budapest University of Technology and Economics,12,15,362,216,Budapest University of Technology and Economics,male,1
Hanlin Li,University of Texas at Austin,10,11,362,349,University of Texas,female,0
Stefano Cirillo,"Assistant Professor, Università degli Studi di Salerno",11,13,362,362,,male,1
Saraschandra Karanam,Cisco,11,12,361,190,,female,0
Eslam Nofal,"Assistant Professor, University of Sharjah, UAE (PhD from KU Leuven)",10,10,361,316,University of Sharjah,male,1
Richard Morris,"The Open University, UK",4,3,361,77,The Open University,female,0
Lei Shi,Google,11,12,361,321,,male,1
Madeth May,"Associate Professor, Le Mans University",10,10,361,141,Le Mans University,male,1
Raja Jamilah Raja Yusof,University Malaya,9,9,360,259,University Malaya,male,1
Lorraine Lin,Unknown affiliation,7,7,360,327,,female,0
Christoph Kotthaus,University of Siegen,8,8,360,283,University of Siegen,male,1
Aengus Martin,Amazon Music,9,9,359,83,,male,1
Branislav Popović,"University of Novi Sad, Faculty of Technical Sciences, Novi Sad, Serbia",12,13,359,229,"University of Novi Sad,",female,0
Basil Soufi,Professor of Project Management,7,7,359,23,,male,1
Maria Wirzberger,"Director, Interchange Forum for Reflecting on Intelligent Systems, University of Stuttgart",10,10,359,346,University of Stuttgart,female,0
Luigi Duraccio,Post-Doc Research Fellow at University of Naples Federico II,11,13,359,359,University of Naples Federico II,female,0
Jose Laparra-Hernández,Instituto de Biomecánica de Valencia (IBV),6,6,358,182,,male,1
Eliane Stampfer Wiese,"Assistant Professor, School of Computing, University of Utah",10,11,357,236,"School of Computing,",female,0
Fatema Akbar,"University of California, Irvine",9,9,357,272,University of California,male,1
Vanessa R. M. L. Maike,Assistant Professor at SUNY Oswego,9,9,356,262,,female,0
Chunggi Lee,Harvard University,6,5,356,355,Harvard University,female,0
Gabriel Lima,Max Planck Institute for Security and Privacy (MPI-SP),11,11,356,355,Max Planck Institute for Security and Privacy,male,1
Martin Röhlig,"Visual Analytics Group, Institute for Visual and Analytic Computing, University of Rostock, Germany",9,9,356,261,Institute for Visual and Analytic Computing,female,0
Anna Kawakami,PhD Student at Carnegie Mellon University,10,10,356,356,Carnegie Mellon University,male,1
Miroslav Macík,Czech Technical University,10,12,355,212,Czech Technical University,female,0
Jay Vidyarthi,SFU-SIAT / McGill,6,5,355,148,,male,1
Jieon Lee,"Department of Interaction Science, Sungkyunkwan University",7,6,355,355,Sungkyunkwan University,female,0
Mo Houtti,University of Minnesota,4,3,355,353,University of Minnesota,male,1
Dominik Kaeser,"Senior Staff Software Engineer, Google",10,11,354,291,,male,1
Tim Claudius Stratmann,"Senior Researcher, OFFIS - Institute for Information Technology",11,12,354,300,OFFIS - Institute for Information Technology,male,1
Sarah McRoberts,"PhD Student in Computer Science, University of Minnesota -Twin Cities",6,6,354,285,University of Minnesota,male,1
Kristin Williams,Emory University,10,11,354,323,Emory University,male,1
Derisma,"Lecture, Andalas University",9,8,354,318,Andalas University,female,0
Donaldo de Souza Dias,Universidade Federal do Rio de Janeiro,8,8,354,76,,male,1
Jessica Rubart,"Professor of Business Information Systems, TH OWL, OWL University of Applied Sciences and Arts",10,10,354,72,OWL University of Applied Sciences,male,1
Kaylee Yaxuan Li,University of Michigan,6,6,354,354,University of Michigan,male,1
Roberto Pugliese Fusco,"Academy of Fine Arts, Helsinki",8,7,353,154,Academy of Fine Arts,female,0
Marco Pretorius,Research Associate. Nelson Mandela Metropolitan University. UX Manager - Western Cape Gov. PhD.,10,12,353,101,Metropolitan University,female,0
Tim Dünte,Leibniz Universität Hannover,8,8,353,227,,male,1
Chaya Hiruncharoenvate,Georgia Institute of Technology,4,3,352,159,Georgia Institute of Technology,male,1
Teresa Hirzle,"Assistant Professor, University of Copenhagen",9,9,352,349,University of Copenhagen,male,1
Yi-Hao Peng,Carnegie Mellon University,11,12,352,349,Carnegie Mellon University,male,1
Gopinaath Kannabiran,"Assistant Professor, School of Information, Pratt Institute, New York, USA",9,9,352,247,School of Information,male,1
Emre Yetgin,Rider University,5,5,351,239,Rider University,male,1
Sandra Nava-Muñoz,"Professor of Computer Science, UASLP",8,7,351,179,,female,0
Pedro O. Rossel,"Computer Science Department & CIBAS, Universidad Católica de la Santísima Concepción",10,10,351,219,,female,0
Teodor Stefanut,Technical University of Cluj-Napoca,11,13,351,101,Technical University of Cluj-Napoca,female,0
Anjan Pal,"School for Business and Society, University of York",9,9,351,324,School for Business and Society,female,0
Maher Khelifi,UX Researcher PhD,9,8,351,299,,male,1
Odd Sveinung Hareide,"Senior advisor Research and Development, Norwegian Coastal Administration Pilot Service",11,12,351,302,,female,0
Yi Han,National Sun Yet-sen University,7,6,351,182,National Sun Yet-sen University,female,0
Philip Heslop,Newcastle University,10,13,350,250,Newcastle University,male,1
Prakash Shrestha,Equifax Inc.,10,11,350,300,,male,1
Jennyfer Lawrence Taylor,Australian National University,11,14,350,296,Australian National University,female,0
Stephan Hammer,"Human Centered Multimedia, Department of Computer Science, Augsburg University",12,12,350,188,Augsburg University,male,1
Rachael V. Phillips,"University of California, Berkeley",10,10,350,345,University of California,male,1
Guo Zhi,"Department of Industrial Engineering, Tsinghua University",6,6,350,306,Tsinghua University,female,0
Prerna Juneja,"University of Washington, Virginia Tech, IIIT Delhi",7,6,350,342,University of Washington,male,1
Sonia G. Mendoza Chapa,Department of Computer Science - CINVESTAV-IPN,10,10,349,167,,male,1
Jiawei Chen,Google,8,6,349,162,,male,1
Erick Paulus,"Computer Science Department, Universitas Padjadjaran",9,8,349,264,,female,0
Jianping Kelvin Li,"University of California, Davis",11,14,349,293,University of California,female,0
Wallace S. Lages,Northeastern University,10,10,349,268,Northeastern University,female,0
"Adamu Abubakar Isah Ph.D MNCS, MBCS, SMIEEE, SMACM, FNIM, MNSBE",Doctor of Philosophy (Information Technology) IBB University Lapai Niger State Nigeria,6,6,349,309,IBB University,male,1
Solen Quiniou,Nantes Université - LS2N,10,11,348,124,,male,1
John Mills,University of Surrey,8,6,348,189,University of Surrey,male,1
"Junichi Yamaoka, 山岡 潤一",Keio University,9,9,348,284,Keio University,female,0
Debajit Sarma,"Faculty Fellow, IITG TIDF/TIH",7,7,348,339,,male,1
Itaru Kuramoto,"The University of Fukuchiyama, Japan",9,9,348,224,The University of Fukuchiyama,male,1
Huan Zhao,Facebook,10,11,347,305,,male,1
Wanyu Liu,IRCAM,9,9,347,293,,male,1
Flynn Wolf,University of Maryland at Baltimore County,9,8,347,309,University of Maryland,male,1
Sidong Feng,"PhD Student, Monash University",10,10,347,346,Monash University,female,0
Mario Conci,Spindox Labs s.r.l.,4,3,347,120,,female,0
Iman Khaghani-Far,"Postdoctoral researcher, Northeastern University",10,10,346,262,Northeastern University,male,1
Jaeyeon Lee,Assistant Professor at UNIST,7,7,346,305,,female,0
Alix Goguey,Université Grenoble Alpes,11,13,346,249,,male,1
Patrick Bader,University of Stuttgart,9,8,346,258,University of Stuttgart,female,0
Alessandro D'Amelio,Assistant Professor at University of Milan,12,12,346,328,University of Milan,male,1
Adithya V,"Assistant Professor, Central University of Kerala",6,5,346,306,Central University of Kerala,female,0
Samaa M. Shohieb,"Associate Professor, Mansoura University, Information Systems Department,FCI",10,10,345,299,Mansoura University,female,0
Rainara Maia Carvalho,Federal University of Ceará,11,11,345,227,Federal University of Ceará,female,0
Julia M. Mayer,Facebook,9,9,345,155,,male,1
Dr. Silvanus J. Udoka,Clark Atlanta University,9,9,345,127,Clark Atlanta University,male,1
Hao Kang,Wormpex AI research,8,8,345,330,,female,0
Sanika Doolani,The University of Texas at Arlington,7,3,345,341,The University of Texas,female,0
Yen Lina Prasetio,"Deputy Head of School of Computer Science, BINUS University",7,5,344,304,School of Computer Science,female,0
Dr. Akif Khan,"Department of Computer Science, University of Peshawar",10,10,344,310,University of Peshawar,female,0
Surjya Ghosh,"Assistant Professor, BITS Pilani Goa",11,13,344,312,,male,1
Andrew (Maozheng) Zhao,Stony Brook University,7,5,344,305,Stony Brook University,male,1
Jevan Hutson,"Hintze Law PLLC, Formerly University of Washington and Cornell University",6,6,344,331,Formerly University of Washington,female,0
Konstantinos Kazakos,Senior User Experience Researcher at Google,7,6,343,105,,female,0
Sam Ladner,"Postdoctoral Fellow, Ryerson University",6,5,343,179,Ryerson University,female,0
Xabier Valencia Parafita (ORCID 0000-0001-9974-1367),Mondragon Unibertsitatea (ROR 00wvqgd19),10,11,343,278,,male,1
Mohammad Faridul Haque Siddiqui,"Assistant Professor, Computer Science, West Texas A&M University",7,6,343,317,West Texas A&M University,female,0
Danilo Gasques,University of California San Diego,11,11,343,295,University of California San Diego,female,0
Andre de Lima Salgado,Professor at Universidade Federal de Lavras,11,12,343,269,,female,0
Saiganesh Swaminathan,University of Tennessee,11,11,343,241,University of Tennessee,male,1
Marc Teyssier,Principal Investigator  - Institute for Future Technologies,9,9,343,332,,male,1
Nico Herbig,"Natif AI, German Research Center for Artificial Intelligence (DFKI), Saarland Informatics Campus",12,13,343,310,,male,1
Varun Kanal,University of Texas at Arlington,8,5,343,335,University of Texas,female,0
Amy Melniczuk,Lecturer in Computer and Information Sciences Department at Northumbria University,8,7,342,312,Northumbria University,female,0
Stefan Liszio,"VR and Health Play Specialist, University Children's Hospital Essen",10,10,342,315,University Children's Hospital Essen,male,1
Jun Baba,"CyberAgent, Inc.",11,12,342,342,,male,1
Gemma Fitzsimmons,University of Southampton,10,10,341,235,University of Southampton,male,1
Fabrizio Milazzo,Università degli Studi di Palermo,11,11,341,168,,male,1
Guillaume Rivière,"Assistant Professor, ESTIA Institute of Technology",10,11,341,120,Institute of Technology,female,0
Rushil Khurana,Carnegie Mellon University,10,11,341,316,Carnegie Mellon University,female,0
Simon Nestler,"Professor for Human-Computer-Interaction, Technische Hochschule Ingolstadt",11,13,341,119,,female,0
Philipp Schoessler,MIT Media Lab,7,7,341,186,,female,0
Glena Iten,"Pädagogische Hochschule Luzern, Forschung & Entwicklung",9,9,341,307,,female,0
Thomas Hughes-Roberts,Senior Lecturer in Computer Science,10,11,341,288,,female,0
Muhammad Syarif Hartawan,Universitas Krisnadwipayana,8,7,341,339,,male,1
Renate Andersen,Associate Professor,9,6,341,181,,female,0
Dr Asma AlJarullah,Ass. Prof of Computer Science,7,6,341,240,,male,1
Atef Eldenfria,Professor of Computer Science -  Misurata University,8,7,341,320,Misurata University,female,0
Gerson Feoh,Universitas Dhyana Pura Bali,6,4,340,324,,female,0
Bruno Fruchard,Research scientist (ISFP) at Inria,10,11,340,317,,male,1
Lukas Gehrke,"Research Associate, TU Berlin",10,10,340,339,,male,1
Yuwei Li,Unknown affiliation,2,2,340,237,,female,0
Richard Abayhon,"Graduate Lecturer of Systems and Technology of Information, De La Salle University - Manila",8,8,340,315,De La Salle University - Manila,female,0
Guillaume Besacier,"Université Paris 8, Digital Humanities department and Citu-Paragraphe research team",7,7,339,64,,male,1
fraoua,Associate Professor University of Paris East Marne la vallée CNAM,10,10,339,60,Associate Professor University of Paris East Marne la vallée,male,1
Ya-Hsin Hung,"Department of Psychological Science, Purdue University",7,6,339,247,Purdue University,male,1
Mustafa Madni,COMSATS University Islamabad,8,7,339,319,COMSATS University Islamabad,female,0
Pascal Goffin,Unknown affiliation,10,10,339,268,,male,1
Ronggo Alit,Universitas Negeri Surabaya,8,4,339,324,,male,1
N. Fırat Özkan,"Associate Professor, Eskisehir Osmangazi University",10,14,339,300,,female,0
Johnathon Schultz,"Graduate Student, University of Michigan",5,5,338,117,University of Michigan,male,1
Patricia Cristiane de Souza,UFMT,11,12,338,174,,female,0
Laura Montanini,"PostDoc Researcher, Department of Information Engineering, Università Politecnica delle Marche",10,12,338,216,,female,0
Alex Jiahong Lu,University of Michigan School of Information,10,10,338,332,University of Michigan School of Information,male,1
Monica Maceli,"Associate Professor, Pratt Institute School of Information",11,12,337,236,Pratt Institute School of Information,female,0
Jiawei Gu,"Research Designer, Microsoft Research",9,9,337,226,,male,1
Wenchao Jiang,University of nottingham,7,7,337,204,University of nottingham,male,1
